# 601 snapshots, linear scaling in scale factor
# times assume cosmology from AGORA
# i scale_factor redshift time[Gyr] time_width[Myr]
  0 0.0100000 99.0000000  0.017805   0.000000
  1 0.0500000 19.0000000  0.199051 181.246430
  2 0.0625000 15.0000000  0.278168  79.116484
  3 0.0640783 14.6059113  0.288768  10.600450
  4 0.0656566 14.2307692  0.299500  10.731536
  5 0.0672348 13.8732394  0.310361  10.861012
  6 0.0688131 13.5321101  0.321350  10.988934
  7 0.0703914 13.2062780  0.332465  11.115354
  8 0.0719697 12.8947368  0.343705  11.240322
  9 0.0735480 12.5965665  0.355069  11.363885
 10 0.0751263 12.3109244  0.366555  11.486085
 11 0.0767045 12.0370370  0.378162  11.606965
 12 0.0782828 11.7741935  0.389889  11.726564
 13 0.0798611 11.5217391  0.401734  11.844920
 14 0.0814394 11.2790698  0.413696  11.962068
 15 0.0830177 11.0456274  0.425774  12.078041
 16 0.0845960 10.8208955  0.437967  12.192873
 17 0.0861742 10.6043956  0.450273  12.306592
 18 0.0877525 10.3956835  0.462692  12.419229
 19 0.0893308 10.1943463  0.475223  12.530810
 20 0.0909091 10.0000000  0.487865  12.641363
 21 0.0924242  9.8196721  0.500103  12.238785
 22 0.0939394  9.6451613  0.512442  12.338879
 23 0.0954545  9.4761905  0.524880  12.438126
 24 0.0969697  9.3125000  0.537417  12.536543
 25 0.0984848  9.1538462  0.550051  12.634151
 26 0.1000000  9.0000000  0.562782  12.730964
 27 0.1015873  8.8437500  0.576222  13.440195
 28 0.1031746  8.6923077  0.589767  13.544722
 29 0.1047619  8.5454545  0.603415  13.648394
 30 0.1063492  8.4029851  0.617167  13.751227
 31 0.1079365  8.2647059  0.631020  13.853241
 32 0.1095238  8.1304348  0.644974  13.954447
 33 0.1111111  8.0000000  0.659029  14.054866
 34 0.1128472  7.8615385  0.674516  15.486579
 35 0.1145833  7.7272727  0.690120  15.604786
 36 0.1163194  7.5970149  0.705843  15.722025
 37 0.1180556  7.4705882  0.721681  15.838310
 38 0.1197917  7.3478261  0.737634  15.953655
 39 0.1215278  7.2285714  0.753703  16.068084
 40 0.1232639  7.1126761  0.769884  16.181612
 41 0.1250000  7.0000000  0.786178  16.294256
 42 0.1266234  6.8974359  0.801516  15.337326
 43 0.1282468  6.7974684  0.816950  15.434356
 44 0.1298701  6.7000000  0.832481  15.530698
 45 0.1314935  6.6049383  0.848107  15.626362
 46 0.1331169  6.5121951  0.863829  15.721361
 47 0.1347403  6.4216867  0.879644  15.815703
 48 0.1363636  6.3333333  0.895554  15.909398
 49 0.1379870  6.2470588  0.911556  16.002455
 50 0.1396104  6.1627907  0.927651  16.094882
 51 0.1412338  6.0804598  0.943838  16.186686
 52 0.1428571  6.0000000  0.960116  16.277881
 53 0.1444444  5.9230769  0.976119  16.003752
 54 0.1460317  5.8478261  0.992209  16.089811
 55 0.1476190  5.7741935  1.008384  16.175309
 56 0.1492063  5.7021277  1.024645  16.260265
 57 0.1507937  5.6315789  1.040989  16.344696
 58 0.1523810  5.5625000  1.057418  16.428593
 59 0.1539683  5.4948454  1.073930  16.511950
 60 0.1555556  5.4285714  1.090525  16.594809
 61 0.1571429  5.3636364  1.107202  16.677154
 62 0.1587302  5.3000000  1.123961  16.758969
 63 0.1603175  5.2376238  1.140801  16.840314
 64 0.1619048  5.1764706  1.157722  16.921144
 65 0.1634921  5.1165049  1.174724  17.001478
 66 0.1650794  5.0576923  1.191805  17.081355
 67 0.1666667  5.0000000  1.208966  17.160706
 68 0.1682540  4.9433962  1.226205  17.239627
 69 0.1698413  4.8878505  1.243523  17.318037
 70 0.1714286  4.8333333  1.260920  17.396005
 71 0.1730159  4.7798165  1.278393  17.473500
 72 0.1746032  4.7272727  1.295944  17.550530
 73 0.1761905  4.6756757  1.313571  17.627122
 74 0.1777778  4.6250000  1.331274  17.703236
 75 0.1793651  4.5752212  1.349053  17.778935
 76 0.1809524  4.5263158  1.366907  17.854155
 77 0.1825397  4.4782609  1.384836  17.928968
 78 0.1841270  4.4310345  1.402839  18.003317
 79 0.1857143  4.3846154  1.420917  18.077248
 80 0.1873016  4.3389831  1.439067  18.150752
 81 0.1888889  4.2941176  1.457291  18.223802
 82 0.1904762  4.2500000  1.475588  18.296482
 83 0.1920635  4.2066116  1.493956  18.368658
 84 0.1936508  4.1639344  1.512397  18.440520
 85 0.1952381  4.1219512  1.530909  18.511859
 86 0.1968254  4.0806452  1.549491  18.582872
 87 0.1984127  4.0400000  1.568145  18.653438
 88 0.2000000  4.0000000  1.586868  18.723570
 89 0.2015625  3.9612403  1.605368  18.499205
 90 0.2031250  3.9230769  1.623934  18.566351
 91 0.2046875  3.8854962  1.642567  18.633216
 92 0.2062500  3.8484848  1.661267  18.699686
 93 0.2078125  3.8120301  1.680033  18.765696
 94 0.2093750  3.7761194  1.698864  18.831460
 95 0.2109375  3.7407407  1.717761  18.896764
 96 0.2125000  3.7058824  1.736723  18.961678
 97 0.2140625  3.6715328  1.755749  19.026337
 98 0.2156250  3.6376812  1.774839  19.090512
 99 0.2171875  3.6043165  1.793994  19.154336
100 0.2187500  3.5714286  1.813212  19.217903
101 0.2203125  3.5390071  1.832493  19.280984
102 0.2218750  3.5070423  1.851836  19.343714
103 0.2234375  3.4755245  1.871243  19.406204
104 0.2250000  3.4444444  1.890711  19.468230
105 0.2265625  3.4137931  1.910241  19.529858
106 0.2281250  3.3835616  1.929832  19.591278
107 0.2296875  3.3537415  1.949484  19.652291
108 0.2312500  3.3243243  1.969197  19.712825
109 0.2328125  3.2953020  1.988970  19.773159
110 0.2343750  3.2666667  2.008803  19.833175
111 0.2359375  3.2384106  2.028696  19.892690
112 0.2375000  3.2105263  2.048648  19.951896
113 0.2390625  3.1830065  2.068659  20.010889
114 0.2406250  3.1558442  2.088728  20.069475
115 0.2421875  3.1290323  2.108856  20.127574
116 0.2437500  3.1025641  2.129041  20.185473
117 0.2453125  3.0764331  2.149284  20.243106
118 0.2468750  3.0506329  2.169585  20.300288
119 0.2484375  3.0251572  2.189942  20.357029
120 0.2500000  3.0000000  2.210355  20.413600
121 0.2516026  2.9745223  2.231351  20.995491
122 0.2532051  2.9493671  2.252405  21.054205
123 0.2548077  2.9245283  2.273518  21.112464
124 0.2564103  2.9000000  2.294688  21.170545
125 0.2580128  2.8757764  2.315916  21.228320
126 0.2596154  2.8518519  2.337202  21.285612
127 0.2612179  2.8282209  2.358544  21.342423
128 0.2628205  2.8048780  2.379943  21.399056
129 0.2644231  2.7818182  2.401399  21.455417
130 0.2660256  2.7590361  2.422910  21.511341
131 0.2676282  2.7365269  2.444477  21.566733
132 0.2692308  2.7142857  2.466099  21.621882
133 0.2708333  2.6923077  2.487776  21.676827
134 0.2724359  2.6705882  2.509507  21.731409
135 0.2740385  2.6491228  2.531293  21.785483
136 0.2756410  2.6279070  2.553132  21.839122
137 0.2772436  2.6069364  2.575024  21.892603
138 0.2788462  2.5862069  2.596970  21.945823
139 0.2804487  2.5657143  2.618969  21.998640
140 0.2820513  2.5454545  2.641020  22.050931
141 0.2836538  2.5254237  2.663123  22.102857
142 0.2852564  2.5056180  2.685277  22.154630
143 0.2868590  2.4860335  2.707483  22.206131
144 0.2884615  2.4666667  2.729741  22.257230
145 0.2900641  2.4475138  2.752048  22.307811
146 0.2916667  2.4285714  2.774406  22.357999
147 0.2932692  2.4098361  2.796814  22.408038
148 0.2948718  2.3913043  2.819272  22.457832
149 0.2964744  2.3729730  2.841779  22.507259
150 0.2980769  2.3548387  2.864336  22.556207
151 0.2996795  2.3368984  2.886940  22.604659
152 0.3012821  2.3191489  2.909593  22.652918
153 0.3028846  2.3015873  2.932294  22.700991
154 0.3044872  2.2842105  2.955043  22.748762
155 0.3060897  2.2670157  2.977839  22.796125
156 0.3076923  2.2500000  3.000682  22.842983
157 0.3092949  2.2331606  3.023572  22.889415
158 0.3108974  2.2164948  3.046507  22.935699
159 0.3125000  2.2000000  3.069489  22.981774
160 0.3141026  2.1836735  3.092517  23.027537
161 0.3157051  2.1675127  3.115589  23.072893
162 0.3173077  2.1515152  3.138707  23.117752
163 0.3189103  2.1356784  3.161869  23.162166
164 0.3205128  2.1200000  3.185076  23.206421
165 0.3221154  2.1044776  3.208326  23.250486
166 0.3237179  2.0891089  3.231621  23.294265
167 0.3253205  2.0738916  3.254958  23.337670
168 0.3269231  2.0588235  3.278339  23.380619
169 0.3285256  2.0439024  3.301762  23.423059
170 0.3301282  2.0291262  3.325227  23.465222
171 0.3317308  2.0144928  3.348734  23.507239
172 0.3333333  2.0000000  3.372283  23.549027
173 0.3349206  1.9857820  3.395649  23.365637
174 0.3365079  1.9716981  3.419055  23.405949
175 0.3380952  1.9577465  3.442501  23.445815
176 0.3396825  1.9439252  3.465986  23.485194
177 0.3412698  1.9302326  3.489510  23.524316
178 0.3428571  1.9166667  3.513074  23.563298
179 0.3444444  1.9032258  3.536676  23.602066
180 0.3460317  1.8899083  3.560316  23.640547
181 0.3476190  1.8767123  3.583995  23.678674
182 0.3492063  1.8636364  3.607711  23.716386
183 0.3507937  1.8506787  3.631465  23.753623
184 0.3523810  1.8378378  3.655255  23.790461
185 0.3539683  1.8251121  3.679082  23.827150
186 0.3555556  1.8125000  3.702946  23.863667
187 0.3571429  1.8000000  3.726846  23.899944
188 0.3587302  1.7876106  3.750782  23.935919
189 0.3603175  1.7753304  3.774754  23.971534
190 0.3619048  1.7631579  3.798760  24.006734
191 0.3634921  1.7510917  3.822802  24.041469
192 0.3650794  1.7391304  3.846878  24.075803
193 0.3666667  1.7272727  3.870988  24.109984
194 0.3682540  1.7155172  3.895132  24.143997
195 0.3698413  1.7038627  3.919309  24.177783
196 0.3714286  1.6923077  3.943521  24.211288
197 0.3730159  1.6808511  3.967765  24.244457
198 0.3746032  1.6694915  3.992042  24.277243
199 0.3761905  1.6582278  4.016352  24.309600
200 0.3777778  1.6470588  4.040693  24.341495
201 0.3793651  1.6359833  4.065066  24.373092
202 0.3809524  1.6250000  4.089471  24.404551
203 0.3825397  1.6141079  4.113907  24.435826
204 0.3841270  1.6033058  4.138374  24.466865
205 0.3857143  1.5925926  4.162871  24.497621
206 0.3873016  1.5819672  4.187399  24.528049
207 0.3888889  1.5714286  4.211957  24.558105
208 0.3904762  1.5609756  4.236545  24.587752
209 0.3920635  1.5506073  4.261162  24.616951
210 0.3936508  1.5403226  4.285808  24.645777
211 0.3952381  1.5301205  4.310482  24.674447
212 0.3968254  1.5200000  4.335185  24.702954
213 0.3984127  1.5099602  4.359917  24.731249
214 0.4000000  1.5000000  4.384676  24.759291
215 0.4015873  1.4901186  4.409463  24.787039
216 0.4031746  1.4803150  4.434277  24.814455
217 0.4047619  1.4705882  4.459119  24.841503
218 0.4063492  1.4609375  4.483987  24.868151
219 0.4079365  1.4513619  4.508881  24.894366
220 0.4095238  1.4418605  4.533802  24.920202
221 0.4111111  1.4324324  4.558748  24.945873
222 0.4126984  1.4230769  4.583719  24.971384
223 0.4142857  1.4137931  4.608716  24.996695
224 0.4158730  1.4045802  4.633737  25.021770
225 0.4174603  1.3954373  4.658784  25.046571
226 0.4190476  1.3863636  4.683855  25.071068
227 0.4206349  1.3773585  4.708950  25.095227
228 0.4222222  1.3684211  4.734069  25.119021
229 0.4238095  1.3595506  4.759212  25.142421
230 0.4253968  1.3507463  4.784377  25.165403
231 0.4269841  1.3420074  4.809565  25.188030
232 0.4285714  1.3333333  4.834776  25.210496
233 0.4301587  1.3247232  4.860008  25.232801
234 0.4317460  1.3161765  4.885263  25.254911
235 0.4333333  1.3076923  4.910540  25.276795
236 0.4349206  1.2992701  4.935839  25.298422
237 0.4365079  1.2909091  4.961158  25.319763
238 0.4380952  1.2826087  4.986499  25.340793
239 0.4396825  1.2743682  5.011861  25.361486
240 0.4412698  1.2661871  5.037242  25.381818
241 0.4428571  1.2580645  5.062644  25.401767
242 0.4444444  1.2500000  5.088065  25.421315
243 0.4460317  1.2419929  5.113506  25.440537
244 0.4476190  1.2340426  5.138966  25.459605
245 0.4492063  1.2261484  5.164444  25.478510
246 0.4507937  1.2183099  5.189941  25.497226
247 0.4523810  1.2105263  5.215457  25.515724
248 0.4539683  1.2027972  5.240991  25.533980
249 0.4555556  1.1951220  5.266543  25.551970
250 0.4571429  1.1875000  5.292113  25.569671
251 0.4587302  1.1799308  5.317700  25.587062
252 0.4603175  1.1724138  5.343304  25.604124
253 0.4619048  1.1649485  5.368925  25.620837
254 0.4634921  1.1575342  5.394562  25.637184
255 0.4650794  1.1501706  5.420215  25.653150
256 0.4666667  1.1428571  5.445884  25.668802
257 0.4682540  1.1355932  5.471568  25.684297
258 0.4698413  1.1283784  5.497268  25.699633
259 0.4714286  1.1212121  5.522983  25.714788
260 0.4730159  1.1140940  5.548712  25.729738
261 0.4746032  1.1070234  5.574457  25.744463
262 0.4761905  1.1000000  5.600216  25.758942
263 0.4777778  1.0930233  5.625989  25.773158
264 0.4793651  1.0860927  5.651776  25.787092
265 0.4809524  1.0792079  5.677577  25.800728
266 0.4825397  1.0723684  5.703391  25.814050
267 0.4841270  1.0655738  5.729218  25.827044
268 0.4857143  1.0588235  5.755057  25.839695
269 0.4873016  1.0521173  5.780909  25.851990
270 0.4888889  1.0454545  5.806773  25.863951
271 0.4904762  1.0388350  5.832649  25.875731
272 0.4920635  1.0322581  5.858537  25.887362
273 0.4936508  1.0257235  5.884435  25.898825
274 0.4952381  1.0192308  5.910345  25.910101
275 0.4968254  1.0127796  5.936267  25.921173
276 0.4984127  1.0063694  5.962199  25.932024
277 0.5000000  1.0000000  5.988141  25.942639
278 0.5015924  0.9936508  6.014177  26.035673
279 0.5031847  0.9873418  6.040223  26.045837
280 0.5047771  0.9810726  6.066278  26.055720
281 0.5063694  0.9748428  6.092344  26.065311
282 0.5079618  0.9686520  6.118418  26.074597
283 0.5095541  0.9625000  6.144502  26.083567
284 0.5111465  0.9563863  6.170594  26.092212
285 0.5127389  0.9503106  6.196695  26.100521
286 0.5143312  0.9442724  6.222803  26.108547
287 0.5159236  0.9382716  6.248920  26.116420
288 0.5175159  0.9323077  6.275044  26.124142
289 0.5191083  0.9263804  6.301176  26.131699
290 0.5207006  0.9204893  6.327315  26.139076
291 0.5222930  0.9146341  6.353461  26.146259
292 0.5238854  0.9088146  6.379614  26.153235
293 0.5254777  0.9030303  6.405774  26.159993
294 0.5270701  0.8972810  6.431941  26.166519
295 0.5286624  0.8915663  6.458113  26.172804
296 0.5302548  0.8858859  6.484292  26.178836
297 0.5318471  0.8802395  6.510477  26.184606
298 0.5334395  0.8746269  6.536667  26.190105
299 0.5350318  0.8690476  6.562862  26.195324
300 0.5366242  0.8635015  6.589063  26.200255
301 0.5382166  0.8579882  6.615267  26.204890
302 0.5398089  0.8525074  6.641477  26.209221
303 0.5414013  0.8470588  6.667690  26.213258
304 0.5429936  0.8416422  6.693907  26.217113
305 0.5445860  0.8362573  6.720128  26.220831
306 0.5461783  0.8309038  6.746352  26.224399
307 0.5477707  0.8255814  6.772580  26.227807
308 0.5493631  0.8202899  6.798811  26.231043
309 0.5509554  0.8150289  6.825045  26.234097
310 0.5525478  0.8097983  6.851282  26.236960
311 0.5541401  0.8045977  6.877522  26.239622
312 0.5557325  0.7994269  6.903764  26.242074
313 0.5573248  0.7942857  6.930008  26.244309
314 0.5589172  0.7891738  6.956254  26.246318
315 0.5605096  0.7840909  6.982503  26.248093
316 0.5621019  0.7790368  7.008752  26.249629
317 0.5636943  0.7740113  7.035003  26.250917
318 0.5652866  0.7690141  7.061255  26.251953
319 0.5668790  0.7640449  7.087508  26.252730
320 0.5684713  0.7591036  7.113761  26.253243
321 0.5700637  0.7541899  7.140015  26.253486
322 0.5716561  0.7493036  7.166268  26.253457
323 0.5732484  0.7444444  7.192521  26.253217
324 0.5748408  0.7396122  7.218774  26.252847
325 0.5764331  0.7348066  7.245026  26.252344
326 0.5780255  0.7300275  7.271278  26.251699
327 0.5796178  0.7252747  7.297529  26.250905
328 0.5812102  0.7205479  7.323779  26.249954
329 0.5828025  0.7158470  7.350028  26.248837
330 0.5843949  0.7111717  7.376275  26.247548
331 0.5859873  0.7065217  7.402521  26.246080
332 0.5875796  0.7018970  7.428766  26.244427
333 0.5891720  0.6972973  7.455008  26.242582
334 0.5907643  0.6927224  7.481249  26.240540
335 0.5923567  0.6881720  7.507487  26.238296
336 0.5939490  0.6836461  7.533723  26.235844
337 0.5955414  0.6791444  7.559956  26.233180
338 0.5971338  0.6746667  7.586187  26.230298
339 0.5987261  0.6702128  7.612414  26.227195
340 0.6003185  0.6657825  7.638638  26.223867
341 0.6019108  0.6613757  7.664858  26.220310
342 0.6035032  0.6569921  7.691074  26.216521
343 0.6050955  0.6526316  7.717287  26.212496
344 0.6066879  0.6482940  7.743495  26.208237
345 0.6082803  0.6439791  7.769699  26.203818
346 0.6098726  0.6396867  7.795898  26.199285
347 0.6114650  0.6354167  7.822093  26.194632
348 0.6130573  0.6311688  7.848283  26.189853
349 0.6146497  0.6269430  7.874468  26.184943
350 0.6162420  0.6227390  7.900648  26.179896
351 0.6178344  0.6185567  7.926822  26.174706
352 0.6194268  0.6143959  7.952992  26.169369
353 0.6210191  0.6102564  7.979156  26.163879
354 0.6226115  0.6061381  8.005314  26.158232
355 0.6242038  0.6020408  8.031466  26.152423
356 0.6257962  0.5979644  8.057613  26.146449
357 0.6273885  0.5939086  8.083753  26.140305
358 0.6289809  0.5898734  8.109887  26.133989
359 0.6305732  0.5858586  8.136014  26.127495
360 0.6321656  0.5818640  8.162135  26.120822
361 0.6337580  0.5778894  8.188249  26.113966
362 0.6353503  0.5739348  8.214356  26.106925
363 0.6369427  0.5700000  8.240456  26.099694
364 0.6385350  0.5660848  8.266548  26.092273
365 0.6401274  0.5621891  8.292633  26.084658
366 0.6417197  0.5583127  8.318710  26.076848
367 0.6433121  0.5544554  8.344779  26.068840
368 0.6449045  0.5506173  8.370839  26.060633
369 0.6464968  0.5467980  8.396891  26.052247
370 0.6480892  0.5429975  8.422935  26.043755
371 0.6496815  0.5392157  8.448970  26.035165
372 0.6512739  0.5354523  8.474997  26.026473
373 0.6528662  0.5317073  8.501014  26.017675
374 0.6544586  0.5279805  8.527023  26.008768
375 0.6560510  0.5242718  8.553023  25.999746
376 0.6576433  0.5205811  8.579014  25.990607
377 0.6592357  0.5169082  8.604995  25.981347
378 0.6608280  0.5132530  8.630967  25.971963
379 0.6624204  0.5096154  8.656929  25.962451
380 0.6640127  0.5059952  8.682882  25.952808
381 0.6656051  0.5023923  8.708825  25.943032
382 0.6671975  0.4988067  8.734758  25.933120
383 0.6687898  0.4952381  8.760681  25.923070
384 0.6703822  0.4916865  8.786594  25.912878
385 0.6719745  0.4881517  8.812497  25.902544
386 0.6735669  0.4846336  8.838389  25.892063
387 0.6751592  0.4811321  8.864270  25.881436
388 0.6767516  0.4776471  8.890141  25.870659
389 0.6783439  0.4741784  8.916001  25.859731
390 0.6799363  0.4707260  8.941849  25.848651
391 0.6815287  0.4672897  8.967687  25.837416
392 0.6831210  0.4638695  8.993513  25.826026
393 0.6847134  0.4604651  9.019327  25.814480
394 0.6863057  0.4570766  9.045130  25.802775
395 0.6878981  0.4537037  9.070921  25.790911
396 0.6894904  0.4503464  9.096700  25.778887
397 0.6910828  0.4470046  9.122467  25.766723
398 0.6926752  0.4436782  9.148221  25.754474
399 0.6942675  0.4403670  9.173963  25.742148
400 0.6958599  0.4370709  9.199693  25.729741
401 0.6974522  0.4337900  9.225410  25.717251
402 0.6990446  0.4305239  9.251115  25.704675
403 0.7006369  0.4272727  9.276807  25.692011
404 0.7022293  0.4240363  9.302486  25.679255
405 0.7038217  0.4208145  9.328153  25.666405
406 0.7054140  0.4176072  9.353806  25.653460
407 0.7070064  0.4144144  9.379446  25.640417
408 0.7085987  0.4112360  9.405074  25.627275
409 0.7101911  0.4080717  9.430688  25.614030
410 0.7117834  0.4049217  9.456288  25.600682
411 0.7133758  0.4017857  9.481876  25.587229
412 0.7149682  0.3986637  9.507449  25.573669
413 0.7165605  0.3955556  9.533009  25.560001
414 0.7181529  0.3924612  9.558555  25.546222
415 0.7197452  0.3893805  9.584088  25.532333
416 0.7213376  0.3863135  9.609606  25.518331
417 0.7229299  0.3832599  9.635110  25.504216
418 0.7245223  0.3802198  9.660600  25.489986
419 0.7261146  0.3771930  9.686076  25.475641
420 0.7277070  0.3741794  9.711537  25.461179
